"project","category","part_count","modeled_sheet_count","modeled_yield_pct","finished_part_area_sq_ft","unfilled_sheet_area_sq_ft","yield_band","template_url","worked_layout_url","cut_list_csv_url","sheet_size_in","kerf_in","rotation","benchmark_version","method"
"Narrow entryway bench","Small Spaces","6","1","36.437","11.7","20.3","Large offcut","https://woodcuttool.com/templates/narrow-entryway-bench-cut-list/","https://woodcuttool.com/examples/narrow-entryway-bench-cut-list/","https://woodcuttool.com/examples/data/narrow-entryway-bench-cut-list.csv","96 × 48","0.125","allowed","2026-07-21","woodcuttool-maxrects-v1"
"Over-toilet storage cabinet","Small Spaces","9","1","56.866","18.2","13.8","Balanced use","https://woodcuttool.com/templates/over-toilet-storage-cabinet-cut-list/","https://woodcuttool.com/examples/over-toilet-storage-cabinet-cut-list/","https://woodcuttool.com/examples/data/over-toilet-storage-cabinet-cut-list.csv","96 × 48","0.125","allowed","2026-07-21","woodcuttool-maxrects-v1"
"Rolling kitchen cart","Small Spaces","9","1","70.578","22.6","9.4","High sheet use","https://woodcuttool.com/templates/rolling-kitchen-cart-cut-list/","https://woodcuttool.com/examples/rolling-kitchen-cart-cut-list/","https://woodcuttool.com/examples/data/rolling-kitchen-cart-cut-list.csv","96 × 48","0.125","allowed","2026-07-21","woodcuttool-maxrects-v1"
"Sofa side table","Small Spaces","5","1","24.927","8.0","24.0","Large offcut","https://woodcuttool.com/templates/sofa-side-table-cut-list/","https://woodcuttool.com/examples/sofa-side-table-cut-list/","https://woodcuttool.com/examples/data/sofa-side-table-cut-list.csv","96 × 48","0.125","allowed","2026-07-21","woodcuttool-maxrects-v1"
"Under-desk rolling cabinet","Small Spaces","6","1","43.416","13.9","18.1","Balanced use","https://woodcuttool.com/templates/under-desk-rolling-cabinet-cut-list/","https://woodcuttool.com/examples/under-desk-rolling-cabinet-cut-list/","https://woodcuttool.com/examples/data/under-desk-rolling-cabinet-cut-list.csv","96 × 48","0.125","allowed","2026-07-21","woodcuttool-maxrects-v1"
"Balcony storage bench","Small Spaces","6","1","57.303","18.3","13.7","Balanced use","https://woodcuttool.com/templates/balcony-storage-bench-cut-list/","https://woodcuttool.com/examples/balcony-storage-bench-cut-list/","https://woodcuttool.com/examples/data/balcony-storage-bench-cut-list.csv","96 × 48","0.125","allowed","2026-07-21","woodcuttool-maxrects-v1"
"Drop-leaf dining table","Small Spaces","7","1","64.323","20.6","11.4","Balanced use","https://woodcuttool.com/templates/drop-leaf-dining-table-cut-list/","https://woodcuttool.com/examples/drop-leaf-dining-table-cut-list/","https://woodcuttool.com/examples/data/drop-leaf-dining-table-cut-list.csv","96 × 48","0.125","allowed","2026-07-21","woodcuttool-maxrects-v1"
"Compact craft cart","Small Spaces","7","1","64.079","20.5","11.5","Balanced use","https://woodcuttool.com/templates/compact-craft-cart-cut-list/","https://woodcuttool.com/examples/compact-craft-cart-cut-list/","https://woodcuttool.com/examples/data/compact-craft-cart-cut-list.csv","96 × 48","0.125","allowed","2026-07-21","woodcuttool-maxrects-v1"
"Slim laundry tower","Small Spaces","11","1","89.681","28.7","3.3","High sheet use","https://woodcuttool.com/templates/slim-laundry-tower-cut-list/","https://woodcuttool.com/examples/slim-laundry-tower-cut-list/","https://woodcuttool.com/examples/data/slim-laundry-tower-cut-list.csv","96 × 48","0.125","allowed","2026-07-21","woodcuttool-maxrects-v1"
"Knock-down bookcase","Small Spaces","11","1","76.758","24.6","7.4","High sheet use","https://woodcuttool.com/templates/knock-down-bookcase-cut-list/","https://woodcuttool.com/examples/knock-down-bookcase-cut-list/","https://woodcuttool.com/examples/data/knock-down-bookcase-cut-list.csv","96 × 48","0.125","allowed","2026-07-21","woodcuttool-maxrects-v1"
